timestamp,floor_1_energy_consumption,floor_2_energy_consumption,floor_3_energy_consumption,total_energy_consumption,weather_temperature,weather_humidity
2025-02-03 00:49:11,6.44,5.76,7.348,19.54886165667332,20,50
2025-02-03 00:51:40,7.269,7.102,6.757,21.127889180193268,20,50
2025-02-03 00:51:41,7.071,6.905,6.638,20.614179746707883,20,50
2025-02-03 00:51:42,7.224,6.866,6.793,20.883388303677076,20,50
2025-02-03 00:51:43,6.878,6.961,6.798,20.63767067566464,20,50
2025-02-03 00:51:44,6.746,6.799,6.759,20.304302515752227,20,50
2025-02-03 00:51:45,6.571,6.877,6.884,20.332410000921048,20,50
2025-02-03 00:51:46,6.444,6.985,7.031,20.46047459236445,20,50
2025-02-03 00:51:47,6.394,6.683,6.954,20.031203917838337,20,50
2025-02-03 00:51:48,6.321,6.547,6.997,19.864379935063923,20,50
2025-02-03 00:51:49,6.189,6.89,7.1,20.178954551025406,20,50
2025-02-03 00:51:50,6.022,6.717,7.433,20.17204448696593,20,50
2025-02-03 00:51:51,6.079,6.629,7.211,19.919121666369815,20,50
2025-02-03 00:51:52,6.257,6.646,7.364,20.26755957502946,20,50
2025-02-03 00:51:53,5.787,6.451,7.201,19.4383374545992,20,50
2025-02-03 00:51:54,5.689,5.966,7.613,19.267859541388688,20,50
2025-02-03 00:51:55,5.62,6.084,7.416,19.12020859408254,20,50
2025-02-03 00:51:56,5.768,5.952,7.51,19.23057644332569,20,50
2025-02-03 00:51:57,3.975,5.962,7.485,17.42234191283145,20,50
2025-02-03 00:51:58,4.081,6.373,7.351,17.80591773694642,20,50
2025-02-03 00:51:59,5.959,5.943,7.556,19.458299776132197,20,50
2025-02-03 00:52:00,5.491,6.035,7.679,19.204592826184214,20,50
2025-02-03 00:52:01,5.474,6.098,7.413,18.984934561948112,20,50
2025-02-03 00:52:02,5.694,5.835,7.428,18.957574370268567,20,50
2025-02-03 00:52:03,5.494,5.798,7.395,18.68736127380902,20,50
2025-02-03 00:52:05,5.826,5.8,7.638,19.263028685014046,20,50
2025-02-03 00:52:06,5.944,5.817,7.592,19.35305653203438,20,50
2025-02-03 00:52:07,5.423,6.747,7.529,19.698994370501353,20,50
2025-02-03 00:52:08,5.745,6.753,7.453,19.951434278017363,20,50
2025-02-03 00:52:09,5.844,6.748,7.422,20.01424900677517,20,50
2025-02-03 00:52:10,5.57,6.906,7.556,20.03172263576561,20,50
2025-02-03 00:52:11,5.608,6.731,7.588,19.926905973944645,20,50
2025-02-03 00:52:12,6.957,6.686,7.396,21.038084101211545,20,50
2025-02-03 00:52:13,6.969,6.676,7.427,21.071693444750913,20,50
2025-02-03 00:52:14,7.316,6.721,7.681,21.718190379676287,20,50
2025-02-03 00:52:15,7.271,6.8,7.42,21.4905634820812,20,50
2025-02-03 00:52:16,7.364,6.932,7.474,21.769519887867126,20,50
2025-02-03 00:52:17,7.517,7.263,7.532,22.31173914143487,20,50
2025-02-03 00:52:18,7.481,6.792,7.594,21.86664537873876,20,50
2025-02-03 00:52:19,7.699,7.006,7.338,22.04241175050523,20,50
2025-02-03 00:52:20,7.957,7.099,5.498,20.553150652741657,20,50
2025-02-03 00:52:21,8.122,6.972,7.061,22.1553945475865,20,50
2025-02-03 00:52:22,8.113,7.019,6.548,21.680333671221575,20,50
2025-02-03 00:52:23,8.344,6.967,6.556,21.86664035656741,20,50
2025-02-03 00:52:24,8.44,7.025,6.727,22.191012914192903,20,50
2025-02-03 00:52:25,8.411,7.219,6.857,22.486543504741302,20,50
2025-02-03 00:52:26,8.395,7.07,6.664,22.128856260838724,20,50
2025-02-03 00:52:27,8.772,7.01,6.875,22.6575545835313,20,50
2025-02-03 00:52:28,8.816,7.101,6.858,22.774245040077236,20,50
2025-02-03 00:52:29,8.653,7.098,6.195,21.946409997939593,20,50
2025-02-03 00:52:30,8.762,6.843,6.177,21.780831847336664,20,50
2025-02-03 00:52:31,8.796,6.939,5.447,21.182226645788244,20,50
2025-02-03 00:52:32,8.935,7.01,6.538,22.483207958638836,20,50
2025-02-03 00:52:33,8.99,7.093,7.798,23.880211280679106,20,50
2025-02-03 00:52:34,9.022,7.085,7.945,24.05192548328902,20,50
2025-02-03 00:52:35,8.982,7.35,8.203,24.536060771563733,20,50
2025-02-03 00:52:36,8.944,6.881,7.922,23.747177997305915,20,50
2025-02-03 00:52:37,9.045,7.026,8.006,24.077960772574073,20,50
2025-02-03 00:52:38,9.081,7.014,8.308,24.40400194824234,20,50
2025-02-03 00:52:39,9.008,6.817,8.105,23.92898383085563,20,50
2025-02-03 00:52:40,8.923,7.025,8.078,24.026926438376716,20,50
2025-02-03 00:52:41,8.843,7.061,8.314,24.218175802705822,20,50
2025-02-03 00:52:42,8.732,6.994,8.239,23.96589721299825,20,50
2025-02-03 00:52:43,8.76,7.192,8.172,24.124769261091075,20,50
2025-02-03 00:52:44,8.699,7.258,8.053,24.009582688861926,20,50
2025-02-03 00:52:45,8.76,7.047,8.11,23.916891817038085,20,50
2025-02-03 00:52:46,8.572,7.166,8.287,24.024969441624425,20,50
2025-02-03 00:52:47,8.567,7.118,8.177,23.861472544574198,20,50
2025-02-03 00:52:48,8.31,6.863,8.064,23.237119987143075,20,50
2025-02-03 00:52:49,8.492,7.045,7.934,23.470763300258444,20,50
2025-02-03 00:52:50,8.424,7.103,8.2,23.727843036406494,20,50
2025-02-03 00:52:51,8.148,7.207,7.955,23.31038026139842,20,50
2025-02-03 00:52:52,7.872,7.121,7.974,22.96704964938186,20,50
2025-02-03 00:52:53,7.845,6.982,7.96,22.786356803143853,20,50
2025-02-03 00:52:54,7.681,6.985,7.846,22.5116901727002,20,50
2025-02-03 00:52:55,7.47,6.865,7.709,22.043599873080524,20,50
2025-02-03 00:52:56,7.56,7.054,7.559,22.1742166719193,20,50
2025-02-03 00:52:57,7.42,6.894,7.787,22.10103533107353,20,50
2025-02-03 00:52:58,7.456,7.122,7.419,21.99734228119106,20,50
2025-02-03 00:52:59,7.169,6.971,7.514,21.654818222641033,20,50
2025-02-03 00:53:00,6.793,6.816,7.413,21.022751328170962,20,50
2025-02-03 00:53:01,6.908,6.893,7.18,20.980744044682538,20,50
2025-02-03 00:53:02,6.7,7.039,6.964,20.703177883134423,20,50
2025-02-03 00:53:03,6.389,6.902,6.953,20.244636879020838,20,50
2025-02-03 00:53:04,6.346,6.889,6.758,19.992902805484917,20,50
2025-02-03 00:53:05,6.359,6.921,6.912,20.19258860129979,20,50
2025-02-03 00:53:06,6.066,6.842,6.659,19.567242967413257,20,50
2025-02-03 00:53:07,6.018,6.988,6.766,19.772259711004878,20,50
2025-02-03 00:53:08,5.855,7.021,6.549,19.42550848300993,20,50
2025-02-03 00:53:09,5.692,6.763,6.421,18.87622922369262,20,50
2025-02-03 00:53:10,5.523,6.616,6.538,18.67715683448303,20,50
2025-02-03 00:53:11,5.404,6.819,6.243,18.466083623876443,20,50
2025-02-03 00:53:12,5.568,6.728,6.393,18.68849461812401,20,50
2025-02-03 00:53:13,5.485,6.724,6.298,18.507264674574525,20,50
2025-02-03 00:53:14,5.237,7.071,5.874,18.18165925825358,20,50
2025-02-03 00:53:15,5.276,6.933,5.863,18.073078368416574,20,50
2025-02-03 00:53:16,5.198,6.728,5.874,17.80043788243608,20,50
2025-02-03 00:53:17,5.04,6.701,5.809,17.55063401363957,20,50
2025-02-03 00:53:18,5.071,6.658,5.858,17.586953141717693,20,50
2025-02-03 00:53:19,4.892,6.523,6.123,17.53709208628173,20,50
2025-02-03 00:53:21,4.764,6.751,5.586,17.10097476739405,20,50
2025-02-03 00:53:22,4.736,6.783,5.8,17.318718886707963,20,50
2025-02-03 00:53:23,4.931,6.76,5.398,17.08927567946152,20,50
2025-02-03 00:53:24,4.914,6.676,5.565,17.15390949531467,20,50
2025-02-03 00:53:25,4.908,6.582,5.41,16.900330229695403,20,50
2025-02-03 00:53:26,4.996,6.749,5.597,17.342649563678275,20,50
2025-02-03 00:53:27,4.838,6.917,5.363,17.1181024567771,20,50
2025-02-03 00:53:29,5.277,6.623,5.352,17.25221111940617,20,50
2025-02-03 00:53:30,5.098,6.586,5.408,17.090918010367297,20,50
2025-02-03 00:53:31,5.101,6.751,5.589,17.44161461984939,20,50
2025-02-03 00:53:32,5.106,6.689,5.46,17.25441962754889,20,50
2025-02-03 00:53:33,5.366,6.548,5.384,17.298104844073706,20,50
2025-02-03 00:53:34,5.289,6.579,5.625,17.492381969665736,20,50
2025-02-03 00:53:35,5.265,6.919,5.582,17.76639801822884,20,50
2025-02-03 00:53:36,5.491,6.656,5.353,17.500414010046264,20,50
2025-02-03 00:53:38,5.466,6.692,5.414,17.572193017234458,20,50
2025-02-03 00:53:39,5.782,6.612,5.612,18.00656338224315,20,50
2025-02-03 00:53:40,5.883,6.781,5.613,18.277395910076603,20,50
2025-02-03 00:53:41,5.975,7.392,5.997,19.36392727291127,20,50
2025-02-03 00:53:42,6.216,7.03,5.672,18.919093545407485,20,50
2025-02-03 00:53:43,6.243,6.92,6.056,19.219901528052397,20,50
2025-02-03 00:53:44,6.562,6.856,5.881,19.29856872804343,20,50
2025-02-03 00:53:45,6.432,6.722,5.969,19.12280535495818,20,50
2025-02-03 00:53:47,6.554,6.809,6.019,19.38191303004107,20,50
2025-02-03 00:53:48,6.685,6.899,6.043,19.6273182481253,20,50
2025-02-03 00:53:49,6.846,7.08,6.192,20.118651939031913,20,50
2025-02-03 00:53:50,7.294,6.751,6.224,20.269441457968924,20,50
2025-02-03 00:53:51,7.227,6.882,6.316,20.42460934028133,20,50
2025-02-03 00:53:52,7.402,7.066,6.519,20.98725340869276,20,50
2025-02-03 00:53:53,7.733,7.179,6.625,21.537492141250972,20,50
2025-02-03 00:53:55,7.613,7.119,6.688,21.420434414571158,20,50
2025-02-03 00:53:56,7.955,6.925,7.067,21.946972210953447,20,50
2025-02-03 00:53:57,7.75,6.999,6.839,21.58819303088672,20,50
2025-02-03 00:53:58,8.043,7.006,7.123,22.17178462430623,20,50
2025-02-03 00:53:59,8.289,7.0,7.383,22.67251553314852,20,50
2025-02-03 00:54:00,8.197,7.221,7.366,22.783543272333564,20,50
2025-02-03 00:54:01,8.303,6.901,7.37,22.57482646647292,20,50
2025-02-03 00:54:03,8.587,5.635,7.609,21.83140736096197,20,50
2025-02-03 00:54:04,8.545,5.574,7.47,21.588368757674992,20,50
2025-02-03 00:54:05,8.454,6.0,7.571,22.024929024012543,20,50
2025-02-03 00:54:06,8.617,5.514,7.644,21.774436454647205,20,50
2025-02-03 00:54:07,8.839,5.48,7.789,22.108043756878402,20,50
2025-02-03 00:54:08,8.999,5.539,7.971,22.508434639342116,20,50
2025-02-03 00:54:09,9.093,6.658,7.808,23.55849278575854,20,50
2025-02-03 01:00:35,9.463,5.303,4.611,19.37733292570374,20,50
2025-02-03 01:00:36,9.214,5.246,4.48,18.940835106370216,20,50
2025-02-03 01:00:37,9.28,5.109,4.714,19.10371076307708,20,50
2025-02-03 01:00:38,9.316,5.247,4.566,19.128887224732427,20,50
2025-02-03 01:00:39,9.412,5.005,5.977,20.393713003671603,20,50
2025-02-03 01:00:40,9.418,5.187,6.122,20.726300810617218,20,50
2025-02-03 01:00:41,9.331,6.451,5.875,21.656706899327073,20,50
2025-02-03 01:00:42,9.033,6.525,5.94,21.498079918057474,20,50
2025-02-03 01:00:43,9.142,6.651,5.752,21.54517487685089,20,50
2025-02-03 01:00:44,9.293,6.7,6.146,22.13807882824404,20,50
2025-02-03 01:00:45,9.108,6.886,6.093,22.087368511094606,20,50
2025-02-03 01:00:46,9.267,6.558,5.863,21.688035661072348,20,50
2025-02-03 01:00:47,9.009,6.856,6.164,22.02981117285231,20,50
2025-02-03 01:00:48,8.816,6.698,6.071,21.584951041762395,20,50
2025-02-03 01:00:49,8.687,6.916,6.132,21.73463260017025,20,50
2025-02-03 01:00:50,8.514,6.664,6.162,21.340050891363422,20,50
2025-02-03 01:00:51,8.477,6.822,5.755,21.05478776716898,20,50
2025-02-03 01:00:52,7.322,6.953,5.928,20.203144196854225,20,50
2025-02-03 01:00:53,7.437,6.845,5.935,20.21639556723429,20,50
2025-02-03 01:00:54,6.887,7.201,6.003,20.090658041110174,20,50
2025-02-03 01:00:55,6.854,7.071,5.863,19.788396448984088,20,50
2025-02-03 01:00:56,6.65,7.172,5.873,19.69542151736377,20,50
2025-02-03 01:00:57,6.454,6.916,5.782,19.151166420324746,20,50
2025-02-03 01:00:58,6.74,7.244,5.864,19.84795611361481,20,50
2025-02-03 01:00:59,6.526,7.044,5.698,19.2670864074502,20,50
2025-02-03 01:01:00,6.464,7.169,5.854,19.487252592891306,20,50
2025-02-03 01:01:01,6.176,7.253,6.125,19.554636247642353,20,50
2025-02-03 01:01:02,6.44,7.199,5.799,19.439190810030933,20,50
2025-02-03 01:01:03,5.865,7.143,5.744,18.7513289636474,20,50
2025-02-03 01:01:04,6.008,7.415,7.403,20.826140707974446,20,50
2025-02-03 01:01:05,5.68,7.372,7.057,20.108211005820255,20,50
2025-02-03 01:01:06,5.715,7.441,7.322,20.478580193188094,20,50
2025-02-03 01:01:07,5.484,7.158,6.998,19.64093938987222,20,50
2025-02-03 01:01:08,5.334,7.396,7.039,19.769105165236574,20,50
2025-02-03 01:01:09,5.13,7.32,7.05,19.49976054229888,20,50
2025-02-03 01:01:10,5.311,7.297,7.284,19.892651547506475,20,50
2025-02-03 01:01:11,4.605,7.452,7.196,19.253622457112094,20,50
2025-02-03 01:01:12,4.936,7.369,7.003,19.307341422906674,20,50
2025-02-03 01:01:13,4.78,7.451,7.182,19.413633152172075,20,50
2025-02-03 01:01:14,4.265,7.366,7.063,18.69480623851173,20,50
2025-02-03 01:01:15,5.294,7.8,7.219,20.312736993898003,20,50
2025-02-03 01:01:16,5.265,7.417,7.214,19.896269737315972,20,50
2025-02-03 01:01:17,5.748,7.355,7.368,20.47092577618776,20,50
2025-02-03 01:01:18,5.838,7.279,7.316,20.433545156743158,20,50
