timestamp,total_occupancy,total_energy_consumption,total_water_usage,average_temperature,average_humidity,weather_temperature,peak_energy_floor,total_appliance_consumption
2025-02-13 12:03:58,9,8.68127695307357,2.582096794007417,5.968999999999999,19.37,44.05,20,1
2025-02-13 12:03:58,2,2.5611460267936925,1.315558329391357,0.581,19.19,44.81,20,1
2025-02-13 12:04:28,9,7.7877096133995405,2.549635008541608,4.98733323284511,18.83,47.82,20,1
2025-02-13 12:04:29,7,5.072724539348474,2.4255517491035756,2.542729272373722,19.2,47.54,20,3
2025-02-13 12:04:58,9,13.28393574302369,2.6844875741206273,10.5766917128164,19.17,46.59,20,3
2025-02-13 12:04:59,4,11.469304326551185,1.7256905506648166,9.092661488039727,19.08,48.65,20,2
2025-02-13 12:05:28,4,11.997797368434703,1.630378404040751,9.613136946538127,18.92,48.36,20,3
2025-02-13 12:05:29,5,11.550549098690377,1.8618389595641007,9.007283860249133,18.77,47.98,20,3
2025-02-13 12:05:58,3,13.637389380912786,1.4380004434989568,11.39344742944948,19.09,46.27,20,1
2025-02-13 12:05:59,7,11.78328813146944,2.2822755585793537,9.20727382124968,19.08,44.76,20,2
2025-02-13 12:06:28,3,15.089951263583103,1.4772445333852395,12.434449128843603,18.39,48.07,20,3
2025-02-13 12:06:29,4,17.584689373738584,1.6351009477003065,15.330046726406955,19.09,47.81,20,2
2025-02-13 15:41:57,5,7.185455752004511,1.957817226370047,5.084999999999999,22.18,53.13,20,2
2025-02-13 15:41:59,2,8.629869597346085,1.3205119634408773,6.952999999999999,23.08,57.39,20,2
2025-02-13 15:42:27,3,9.03026179470199,1.4889775314486782,7.197468393237429,22.57,55.21,20,3
2025-02-13 15:42:29,7,14.472299403280974,2.3360598570178155,12.313090425593664,22.47,55.96,20,2
2025-02-13 15:42:57,5,10.544717763543435,1.7792560055816244,8.615566030942933,22.46,56.64,20,1
2025-02-13 15:42:59,10,16.24293042183392,2.9001991173211006,13.724723423577377,22.35,54.84,20,2
2025-02-13 15:43:27,8,12.065165520922413,2.5818493355531684,9.861272872027612,21.67,55.72,20,1
2025-02-13 15:43:29,7,16.917457206127132,2.247849909313807,14.671746353490919,22.09,55.81,20,2
2025-02-13 15:43:57,4,15.610268957949774,1.715280102131488,13.702911465485805,22.19,54.48,20,2
2025-02-13 15:43:59,6,16.878233783010344,2.174980965468572,14.670036447797903,21.64,53.04,20,2
2025-02-13 15:44:27,6,16.266739942020063,1.9970508764949004,14.09937499414984,22.29,51.98,20,2
2025-02-13 15:44:29,3,17.087067492331002,1.5062478243977968,15.387050758010046,22.17,54.18,20,2
2025-02-13 15:44:57,5,17.835816543822006,1.8734647879648112,15.915444815359898,22.17,53.59,20,1
2025-02-13 15:44:59,5,17.704204146868143,1.907955363407702,15.676096336050357,22.31,57.97,20,2
2025-02-13 15:45:27,4,18.20218561899875,1.7190172961108567,16.261545194883396,21.93,53.58,20,1
2025-02-13 15:45:29,6,20.089404246435528,2.169339946759812,17.871782883497104,22.39,56.8,20,2
2025-02-13 15:45:58,4,18.263385185573114,1.671228038963694,16.408078514928096,22.14,54.57,20,1
2025-02-13 15:45:59,5,19.738687637946988,2.010178502850584,17.757380674055927,22.11,53.77,20,2
2025-02-13 15:46:28,5,18.79492792150282,1.8575160114013638,16.65310544277805,22.37,56.44,20,1
2025-02-13 15:46:29,5,19.95009411786522,1.9360953801874468,18.00734171172102,22.84,55.75,20,2
